county,oshpd_id,hospital,case_mix_index,period_type,period_year
ALAMEDA,010735,ALAMEDA HOSPITAL,1.4330574221338637,FY,2024
ALAMEDA,010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,1.3196794339622653,FY,2024
ALAMEDA,010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,1.7091210211841366,FY,2024
ALAMEDA,010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,,FY,2024
ALAMEDA,010805,EDEN MEDICAL CENTER,,FY,2024
ALAMEDA,010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,,FY,2024
ALAMEDA,010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,1.347624704770902,FY,2024
ALAMEDA,010846,HIGHLAND HOSPITAL,1.518862310797175,FY,2024
ALAMEDA,010856,KAISER FND HOSP - OAKLAND CAMPUS,,FY,2024
ALAMEDA,010858,KAISER FND HOSP - HAYWARD/FREMONT,,FY,2024
ALAMEDA,010869,LAUREL GROVE HOSPITAL,,FY,2024
ALAMEDA,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,3.425146273291926,FY,2024
ALAMEDA,010937,ALTA BATES SUMMIT MEDICAL CENTER,1.9061755978888335,FY,2024
ALAMEDA,010967,ST. ROSE HOSPITAL,1.49032305785124,FY,2024
ALAMEDA,010983,VALLEY MEMORIAL HOSPITAL - LIVERMORE,,FY,2024
ALAMEDA,010987,WASHINGTON HOSPITAL - FREMONT,1.5528093073773919,FY,2024
ALAMEDA,013619,SAN LEANDRO HOSPITAL,,FY,2024
ALAMEDA,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,1.1146170212765958,FY,2024
ALAMEDA,014034,FREMONT HOSPITAL,1.3449265131970627,FY,2024
ALAMEDA,014050,STANFORD HEALTH CARE TRI-VALLEY,1.822423725081131,FY,2024
ALAMEDA,014062,GLADMAN PSYCHIATRIC HEALTH FACILITY,,FY,2024
ALAMEDA,014113,S.T.A.R.S. - P H F,,FY,2024
ALAMEDA,014132,KAISER FOUNDATION HOSPITAL - FREMONT,1.6132571157094602,FY,2024
ALAMEDA,014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,1.3231033273381294,FY,2024
ALAMEDA,014226,TELECARE WILLOW ROCK CENTER,1.2848604976671854,FY,2024
ALAMEDA,014233,EDEN MEDICAL CENTER,1.7644563561924256,FY,2024
ALAMEDA,014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,1.602405651085144,FY,2024
ALAMEDA,014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,1.4126544806661012,FY,2024
AMADOR,030786,SUTTER AMADOR HOSPITAL - COURT ST,,FY,2024
AMADOR,034002,SUTTER AMADOR HOSPITAL,1.3594738777089785,FY,2024
BUTTE,040802,ORCHARD HOSPITAL,1.0983437619961611,FY,2024
BUTTE,040828,ENLOE MEDICAL CENTER - COHASSET CAMPUS,,FY,2024
BUTTE,040875,FEATHER RIVER HOSPITAL,,FY,2024
BUTTE,040937,OROVILLE HOSPITAL,1.5106054625905054,FY,2024
BUTTE,040962,ENLOE HEALTH,1.6276067860556365,FY,2024
BUTTE,044006,BUTTE COUNTY MENTAL HEALTH SERVICES,1.2766143769968052,FY,2024
BUTTE,044011,ENLOE REHABILITATION CENTER,,FY,2024
CALAVERAS,050932,MARK TWAIN MEDICAL CENTER,1.3685118764845599,FY,2024
COLUSA,060870,COLUSA MEDICAL CENTER,1.2462843839541546,FY,2024
CONTRA COSTA,070904,DOCTORS MEDICAL CENTER - SAN PABLO,,FY,2024
CONTRA COSTA,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,1.1669966093981112,FY,2024
CONTRA COSTA,070934,SUTTER DELTA MEDICAL CENTER,1.5207241656553403,FY,2024
CONTRA COSTA,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,1.6653676831452624,FY,2024
CONTRA COSTA,070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1.4490405847217847,FY,2024
CONTRA COSTA,070991,KAISER FND HOSP - RICHMOND CAMPUS,,FY,2024
CONTRA COSTA,071010,KAISER FND HOSP-MARTINEZ/WALNUT CREEK (MUIR RD),,FY,2024
CONTRA COSTA,071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,1.9551084833559786,FY,2024
CONTRA COSTA,071053,EAST BAY HOSPITAL,,FY,2024
CONTRA COSTA,071101,WALNUT CREEK HOSPITAL,,FY,2024
CONTRA COSTA,073449,DOCTORS MEDICAL CENTER - PINOLE CAMPUS,,FY,2024
CONTRA COSTA,074011,SAN RAMON REHABILITATION HOSPITAL,,FY,2024
CONTRA COSTA,074017,SAN RAMON REGIONAL MEDICAL CENTER,1.7389941951766692,FY,2024
CONTRA COSTA,074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,1.2604196721311476,FY,2024
CONTRA COSTA,074093,KAISER FNDN HOSP - RICHMOND CAMPUS,,FY,2024
CONTRA COSTA,074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,1.3795265202855336,FY,2024
DEL NORTE,084001,SUTTER COAST HOSPITAL,1.4207425587467377,FY,2024
EL DORADO,090793,BARTON MEMORIAL HOSPITAL,1.3028872394509414,FY,2024
EL DORADO,090933,MARSHALL MEDICAL CENTER,1.4297470705284103,FY,2024
EL DORADO,094002,TELECARE EL DORADO COUNTY P.H.F.,1.2907772861356932,FY,2024
FRESNO,100005,CLOVIS COMMUNITY MEDICAL CENTER,1.4146145504515117,FY,2024
FRESNO,100697,COALINGA REGIONAL MEDICAL CENTER,1.3236377358490563,FY,2024
FRESNO,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,1.805310976000001,FY,2024
FRESNO,100745,KINGSBURG MEDICAL CENTER,,FY,2024
FRESNO,100791,CENTRAL VALLEY ORTHOPEDIC AND SPINE INSTITUTE,,FY,2024
FRESNO,100793,SELMA COMMUNITY HOSPITAL,,FY,2024
FRESNO,100797,ADVENTIST HEALTH REEDLEY,0.9201403985507248,FY,2024
FRESNO,100819,VALLEY CHILDREN'S HOSPITAL AND GUIDANCE CLINIC,,FY,2024
FRESNO,100822,UNIVERSITY MEDICAL CENTER,,FY,2024
FRESNO,100899,ST. AGNES MEDICAL CENTER,1.4191272571087963,FY,2024
FRESNO,104008,COMMUNITY BEHAVIORAL HEALTH CENTER,,FY,2024
FRESNO,104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,1.401198977635782,FY,2024
FRESNO,104047,FRESNO SURGICAL HOSPITAL,3.952579956896552,FY,2024
FRESNO,104062,KAISER FOUNDATION HOSPITAL - FRESNO,1.4069953576305005,FY,2024
FRESNO,104089,EXODUS PSYCHIATRIC HEALTH FACILITY FRESNO,1.3603598639455783,FY,2024
FRESNO,105029,FRESNO HEART AND SURGICAL HOSPITAL,,FY,2024
FRESNO,105125,CENTRAL STAR PSYCHIATRIC HEALTH FACILITY,1.3488111111111112,FY,2024
GLENN,110889,GLENN MEDICAL CENTER,1.107453432835821,FY,2024
HUMBOLDT,120981,"GENERAL HOSPITAL, THE",,FY,2024
HUMBOLDT,121002,MAD RIVER COMMUNITY HOSPITAL,1.1921731966590734,FY,2024
HUMBOLDT,121031,JEROLD PHELPS COMMUNITY HOSPITAL,1.1136275362318842,FY,2024
HUMBOLDT,121051,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,1.499964628297362,FY,2024
HUMBOLDT,121080,PROVIDENCE ST. JOSEPH HOSPITAL,1.7094029800466446,FY,2024
HUMBOLDT,124004,SEMPERVIRENS P.H.F.,1.305109745762712,FY,2024
IMPERIAL,130666,CALEXICO HOSPITAL,,FY,2024
IMPERIAL,130699,EL CENTRO REGIONAL MEDICAL CENTER,1.4784371117515211,FY,2024
IMPERIAL,130760,PIONEERS MEMORIAL HOSPITAL,1.0153294768349819,FY,2024
INYO,141273,NORTHERN INYO HOSPITAL,1.2463895131086138,FY,2024
INYO,141338,SOUTHERN INYO HOSPITAL,1.0237883720930236,FY,2024
KERN,150706,ADVENTIST HEALTH DELANO,1.3036497624703083,FY,2024
KERN,150722,BAKERSFIELD MEMORIAL HOSPITAL,1.5944090130315145,FY,2024
KERN,150736,KERN MEDICAL CENTER,1.4548231996209724,FY,2024
KERN,150737,KERN VALLEY HEALTHCARE DISTRICT,1.0575777142857141,FY,2024
KERN,150761,MERCY HOSPITAL - BAKERSFIELD,1.3803859093730602,FY,2024
KERN,150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,1.245303691604051,FY,2024
KERN,150782,RIDGECREST REGIONAL HOSPITAL,1.1812798662704298,FY,2024
KERN,150788,ADVENTIST HEALTH BAKERSFIELD,1.619452908387097,FY,2024
KERN,150808,TEHACHAPI HOSPITAL,,FY,2024
KERN,150820,CENTRAL CALIFORNIA REHABILITATION HOSPITAL,1.1999210164835163,FY,2024
KERN,150830,MERCY WESTSIDE HOSPITAL,,FY,2024
KERN,154022,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,1.294564984059511,FY,2024
KERN,154044,"BAKERSFIELD BEHAVORIAL HEALTHCARE HOSPITAL, LLC",1.3527141228625714,FY,2024
KERN,154101,ADVENTIST HEALTH SPECIALTY BAKERSFIELD,1.7676921824104233,FY,2024
KERN,154147,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-BAKERSFIELD,,FY,2024
KERN,154160,CRESTWOOD PSYCHIATRIC HEALTH FACILITY BAKERSFIELD,1.357059523809524,FY,2024
KERN,154168,ADVENTIST HEALTH TEHACHAPI VALLEY,1.3626172208013643,FY,2024
KINGS,160702,CORCORAN DISTRICT HOSPITAL,,FY,2024
KINGS,160725,HANFORD COMMUNITY MEDICAL CENTER,,FY,2024
KINGS,160787,CENTRAL VALLEY GENERAL HOSPITAL,,FY,2024
KINGS,164029,ADVENTIST HEALTH HANFORD,1.3525403625791004,FY,2024
LAKE,171049,ADVENTIST HEALTH CLEARLAKE,1.338209375,FY,2024
LAKE,171395,SUTTER LAKESIDE HOSPITAL,1.3505428345626973,FY,2024
LASSEN,180919,LASSEN COMMUNITY HOSPITAL INC,,FY,2024
LASSEN,184008,BANNER LASSEN MEDICAL CENTER,1.0456348338692383,FY,2024
LOS ANGELES,190017,ALHAMBRA HOSPITAL MEDICAL CENTER,1.579656743063932,FY,2024
LOS ANGELES,190020,BHC ALHAMBRA HOSPITAL,1.3687163742690058,FY,2024
LOS ANGELES,190034,ANTELOPE VALLEY MEDICAL CENTER,1.5335967308491476,FY,2024
LOS ANGELES,190045,CATALINA ISLAND MEDICAL CENTER,0.9747300000000001,FY,2024
LOS ANGELES,190049,KINDRED HOSPITAL - BALDWIN PARK,3.131436914285714,FY,2024
LOS ANGELES,190052,BARLOW RESPIRATORY HOSPITAL,3.9468791304347843,FY,2024
LOS ANGELES,190053,ST. MARY MEDICAL CENTER - LONG BEACH,1.668863068626599,FY,2024
LOS ANGELES,190057,LITTLE CO OF MARY SAN PEDRO HOSPITAL-HARBOR CITY,,FY,2024
LOS ANGELES,190066,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,1.3566442098092644,FY,2024
LOS ANGELES,190069,BELLWOOD GENERAL HOSPITAL,,FY,2024
LOS ANGELES,190081,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,1.5293494049904024,FY,2024
LOS ANGELES,190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,1.6176962472957226,FY,2024
LOS ANGELES,190114,THOMPSON MEMORIAL MEDICAL CENTER,,FY,2024
LOS ANGELES,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,1.5546922049138803,FY,2024
LOS ANGELES,190137,CASA COLINA HOSPITAL,1.662351573254671,FY,2024
LOS ANGELES,190148,CENTINELA HOSPITAL MEDICAL CENTER,1.6450887478399578,FY,2024
LOS ANGELES,190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,1.352363375,FY,2024
LOS ANGELES,190155,"CALIFORNIA REHABILITATION INSTITUTE, LLC",1.3133519587002733,FY,2024
LOS ANGELES,190159,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,,FY,2024
LOS ANGELES,190163,AURORA CHARTER OAK,1.3532161565402772,FY,2024
LOS ANGELES,190170,CHILDREN'S HOSPITAL OF LOS ANGELES,1.7770611933750136,FY,2024
LOS ANGELES,190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,3.274858476912477,FY,2024
LOS ANGELES,190184,COLLEGE HOSPITAL,1.3368651101321587,FY,2024
LOS ANGELES,190196,KINDRED HOSPITAL - SOUTH BAY,3.2553162291169437,FY,2024
LOS ANGELES,190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,1.4368798314902576,FY,2024
LOS ANGELES,190198,LOS ANGELES COMMUNITY HOSPITAL,1.5347502068965524,FY,2024
LOS ANGELES,190200,SAN GABRIEL VALLEY MEDICAL CENTER,1.610651976618981,FY,2024
LOS ANGELES,190230,CENTINELA FREEMAN REG MED CTR - MEMORIAL CAMPUS,,FY,2024
LOS ANGELES,190232,DEL AMO BEHAVIORAL HEALTH SYSTEM,1.3533848242591318,FY,2024
LOS ANGELES,190240,UCI HEALTH-LAKEWOOD,1.8775054688403294,FY,2024
LOS ANGELES,190243,PIH HEALTH HOSPITAL DOWNEY,1.4943652879697582,FY,2024
LOS ANGELES,190256,EAST LOS ANGELES DOCTORS HOSPITAL,1.1500692704970943,FY,2024
LOS ANGELES,190260,EDGEMONT HOSPITAL,,FY,2024
LOS ANGELES,190280,ENCINO HOSPITAL MEDICAL CENTER,1.6322343558282202,FY,2024
LOS ANGELES,190298,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,1.6352063759045559,FY,2024
LOS ANGELES,190305,KINDRED HOSPITAL - LOS ANGELES,3.6514725641025634,FY,2024
LOS ANGELES,190307,PACIFIC ALLIANCE MEDICAL CENTER,,FY,2024
LOS ANGELES,190315,GARFIELD MEDICAL CENTER,1.4597350751547307,FY,2024
LOS ANGELES,190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,1.3629245210727972,FY,2024
LOS ANGELES,190323,ADVENTIST HEALTH GLENDALE,1.6786715749833172,FY,2024
LOS ANGELES,190328,GLENDORA HOSPITAL,1.367917603458925,FY,2024
LOS ANGELES,190348,GRANADA HILLS COMMUNITY HOSPITAL,,FY,2024
LOS ANGELES,190352,GREATER EL MONTE COMMUNITY HOSPITAL,1.542133134624938,FY,2024
LOS ANGELES,190366,ROBERT F. KENNEDY MEDICAL CENTER,,FY,2024
LOS ANGELES,190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,1.5067841806344366,FY,2024
LOS ANGELES,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1.5005269315538152,FY,2024
LOS ANGELES,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,1.7651423495921617,FY,2024
LOS ANGELES,190392,PIH HEALTH GOOD SAMARITAN HOSPITAL,1.5769014247551207,FY,2024
LOS ANGELES,190400,HUNTINGTON HOSPITAL,1.6715179202735142,FY,2024
LOS ANGELES,190410,SILVER LAKE MEDICAL CENTER-INGLESIDE CAMPUS,,FY,2024
LOS ANGELES,190413,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,1.789346021972716,FY,2024
LOS ANGELES,190422,TORRANCE MEMORIAL MEDICAL CENTER,1.580436720849006,FY,2024
LOS ANGELES,190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,1.854161948989588,FY,2024
LOS ANGELES,190430,KAISER FND HOSP - BELLFLOWER,,FY,2024
LOS ANGELES,190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,1.4337149480687,FY,2024
LOS ANGELES,190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,1.5059616546711316,FY,2024
LOS ANGELES,190434,KAISER FOUNDATION HOSPITAL - WEST LA,1.520691912687128,FY,2024
LOS ANGELES,190449,KINDRED HOSPITAL - LA MIRADA,2.98753499684144,FY,2024
LOS ANGELES,190453,LAKEWOOD REGIONAL MEDICAL CENTER - CLARK AVENUE,,FY,2024
LOS ANGELES,190455,LANCASTER COMMUNITY HOSPITAL,,FY,2024
LOS ANGELES,190458,KINDRED HOSPITAL - SAN GABRIEL VALLEY,,FY,2024
LOS ANGELES,190462,AURORA LAS ENCINAS HOSPITAL,1.3054738573259292,FY,2024
LOS ANGELES,190468,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,,FY,2024
LOS ANGELES,190470,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,1.605569970414202,FY,2024
LOS ANGELES,190475,COMMUNITY HOSPITAL LONG BEACH,,FY,2024
LOS ANGELES,190477,PACIFIC HOSPITAL-SOUTH CAMPUS D/P APH,,FY,2024
LOS ANGELES,190482,CHARTER B H S - LOS ALTOS,,FY,2024
LOS ANGELES,190500,CEDARS-SINAI MARINA HOSPITAL,1.794125127296879,FY,2024
LOS ANGELES,190517,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER,1.3532815293450162,FY,2024
LOS ANGELES,190521,MEMORIAL HOSPITAL OF GARDENA,1.6283524375327634,FY,2024
LOS ANGELES,190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1.4786305131761446,FY,2024
LOS ANGELES,190523,LOS ANGELES METROPOLITAN MED CTR-HAWTHORNE CAMPUS,,FY,2024
LOS ANGELES,190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,1.8432100233518958,FY,2024
LOS ANGELES,190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,2.083576923530104,FY,2024
LOS ANGELES,190529,USC ARCADIA HOSPITAL,1.6311846352222599,FY,2024
LOS ANGELES,190534,OLYMPIA MEDICAL CENTER,,FY,2024
LOS ANGELES,190538,COMMUNITY AND MISSION HSP OF HNTG PARK-FLORENCE,,FY,2024
LOS ANGELES,190541,MONROVIA MEMORIAL HOSPITAL,2.961454787234042,FY,2024
LOS ANGELES,190547,MONTEREY PARK HOSPITAL,1.3870518831168839,FY,2024
LOS ANGELES,190552,MOTION PICTURE AND TELEVISION HOSPITAL,1.360533488372093,FY,2024
LOS ANGELES,190555,CEDARS-SINAI MEDICAL CENTER,2.212449574603425,FY,2024
LOS ANGELES,190559,NEWHALL COMMUNITY HOSPITAL,,FY,2024
LOS ANGELES,190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,1.789737625631969,FY,2024
LOS ANGELES,190570,NORWALK COMMUNITY HOSPITAL,1.6380459433354806,FY,2024
LOS ANGELES,190581,ORTHOPAEDIC HOSPITAL,,FY,2024
LOS ANGELES,190587,COLLEGE MEDICAL CENTER,1.3324488663409746,FY,2024
LOS ANGELES,190595,DESERT PALMS COMMUNITY HOSPITAL,,FY,2024
LOS ANGELES,190599,KINDRED HOSPITAL PARAMOUNT,3.1017233370913204,FY,2024
LOS ANGELES,190605,PINE GROVE HOSPITAL,,FY,2024
LOS ANGELES,190619,PIONEER HOSPITAL,,FY,2024
LOS ANGELES,190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,1.63168183946619,FY,2024
LOS ANGELES,190631,PIH HEALTH WHITTIER HOSPITAL,1.598705751406818,FY,2024
LOS ANGELES,190636,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,1.3377846099830313,FY,2024
LOS ANGELES,190646,KAISER FND HOSP - MENTAL HEALTH CENTER,,FY,2024
LOS ANGELES,190654,NORTH HOLLYWOOD MEDICAL CENTER,,FY,2024
LOS ANGELES,190661,L.A. DOWNTOWN MEDICAL CENTER,1.3743117225343926,FY,2024
LOS ANGELES,190673,SAN DIMAS COMMUNITY HOSPITAL,1.697212232113419,FY,2024
LOS ANGELES,190676,MISSION COMMUNITY HOSPITAL - SAN FERNANDO CAMPUS,,FY,2024
LOS ANGELES,190680,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,1.4737939071229065,FY,2024
LOS ANGELES,190681,DOCS SURGICAL HOSPITAL,3.0620464285714286,FY,2024
LOS ANGELES,190685,ELASTAR COMMUNITY HOSPITAL,,FY,2024
LOS ANGELES,190687,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,1.8781814140504394,FY,2024
LOS ANGELES,190691,SANTA TERESITA HOSPITAL,,FY,2024
